library_name,game,manufacturer,year,v1_slug,v2_name_observed,v2_candidates,v3_practice_identity,opdb_id,v1_playfield_700_exists,v2_playfield_700_exists,v3_playfield_700_exists,v1_rulesheet_exists,v2_rulesheet_exists,v3_rulesheet_exists,v1_playfield_700_name,v2_playfield_700_name,v3_playfield_700_name,v1_rulesheet_name,v2_rulesheet_name,v3_rulesheet_name,asset_playfield_local_legacy,asset_playfield_local_practice,match_confidence
RLM Amusements,James Bond 007,Stern,2022,stern--james-bond-007--2022,james-bond-007,james-bond-007,GQKyP,GQKyP-Mx0O4,True,True,True,False,False,True,stern--james-bond-007--2022-playfield_700.webp,james-bond-007_700.webp,GQKyP-playfield_700.webp,stern--james-bond-007--2022-rulesheet.md,james-bond-007-rulesheet.md,GQKyP-rulesheet.md,,/pinball/images/playfields/GQKyP-playfield.jpg,high
RLM Amusements,Jaws,Stern,2024,stern--jaws--2024,jaws,jaws,GLWll,GLWll-M1r8O,True,True,True,False,False,True,stern--jaws--2024-playfield_700.webp,jaws_700.webp,GLWll-playfield_700.webp,stern--jaws--2024-rulesheet.md,jaws-rulesheet.md,GLWll-rulesheet.md,,/pinball/images/playfields/GLWll-playfield.jpg,high
RLM Amusements,Jurassic Park,Stern,2019,stern--jurassic-park-stern--2019,jurassic-park,jurassic-park,GK17D,GK17D-MKNKd,True,True,True,False,False,True,stern--jurassic-park-stern--2019-playfield_700.webp,jurassic-park_700.webp,GK17D-playfield_700.webp,stern--jurassic-park-stern--2019-rulesheet.md,jurassic-park-rulesheet.md,GK17D-rulesheet.md,,/pinball/images/playfields/GK17D-playfield.jpg,high
RLM Amusements,King Kong,Stern,2025,stern--king-kong-myth-of-terror-island--2025,king-kong,king-kong,GEL0V,GEL0V-MyN8E,True,True,True,False,False,True,stern--king-kong-myth-of-terror-island--2025-playfield_700.webp,king-kong_700.webp,GEL0V-playfield_700.webp,stern--king-kong-myth-of-terror-island--2025-rulesheet.md,king-kong-rulesheet.md,GEL0V-rulesheet.md,,/pinball/images/playfields/GEL0V-playfield.jpg,high
RLM Amusements,Labyrinth,BoF,2023,bof--barrels-of-fun-labyrinth--2023,,,GvBn8,GvBn8-Mz291,True,False,True,False,False,True,bof--barrels-of-fun-labyrinth--2023-playfield_700.webp,,GvBn8-playfield_700.webp,bof--barrels-of-fun-labyrinth--2023-rulesheet.md,,GvBn8-rulesheet.md,,/pinball/images/playfields/GvBn8-playfield.jpg,missing
RLM Amusements,Metallica Remastered,Stern,2024,stern--metallica-remastered--2024,,,GO0q3,GO0q3-MOEy8,True,False,True,False,False,True,stern--metallica-remastered--2024-playfield_700.webp,,GO0q3-playfield_700.webp,stern--metallica-remastered--2024-rulesheet.md,,GO0q3-rulesheet.md,,/pinball/images/playfields/GO0q3-playfield.jpg,missing
RLM Amusements,Nitro Ground Shaker,Bally,1980,bally--nitro-ground-shaker--1980,,,GrP6q,GrP6q-M5Rp1,True,False,True,False,False,True,bally--nitro-ground-shaker--1980-playfield_700.webp,,GrP6q-playfield_700.webp,bally--nitro-ground-shaker--1980-rulesheet.md,,GrP6q-rulesheet.md,,/pinball/images/playfields/GrP6q-playfield.jpg,missing
RLM Amusements,Paragon,Bally,1979,bally--paragon--1979,,,GrXy3,GrXy3-ML0Ey,True,False,True,False,False,True,bally--paragon--1979-playfield_700.webp,,GrXy3-playfield_700.webp,bally--paragon--1979-rulesheet.md,,GrXy3-rulesheet.md,,/pinball/images/playfields/GrXy3-playfield.jpg,missing
RLM Amusements,Pulp Fiction,CGC,2024,cgc--pulp-fiction--2024,pulp-fiction,pulp-fiction,GoEkx,GoEkx-MdEzN,True,True,True,False,False,True,cgc--pulp-fiction--2024-playfield_700.webp,pulp-fiction_700.webp,GoEkx-playfield_700.webp,cgc--pulp-fiction--2024-rulesheet.md,pulp-fiction-rulesheet.md,GoEkx-rulesheet.md,,/pinball/images/playfields/GoEkx-playfield.jpg,high
RLM Amusements,Robo-War,Gottlieb,1988,gottlieb--robo-war--1988,,,GryK3,GryK3-MQrWk,True,False,True,False,False,True,gottlieb--robo-war--1988-playfield_700.webp,,GryK3-playfield_700.webp,gottlieb--robo-war--1988-rulesheet.md,,GryK3-rulesheet.md,,/pinball/images/playfields/GryK3-playfield.webp,missing
