library_name,source_file,row_number,game,manufacturer,year,v1_slug,v2_inferred_naming,v3_practice_identity,opdb_id,library_entry_id,asset_playfield_local_legacy,asset_playfield_local_practice,v1_playfield_700_webp_name,v2_playfield_700_webp_name_inferred,v3_playfield_700_webp_name
RLM Amusements,RLM Amusements - Current.csv,22,James Bond 007,Stern,2022,stern--james-bond-007--2022,stern--GQKyP--2022,GQKyP,GQKyP-Mx0O4,v--16470--GQKyP,,/pinball/images/playfields/GQKyP-playfield.jpg,stern--james-bond-007--2022-playfield_700.webp,stern--GQKyP--2022-playfield_700.webp,GQKyP-playfield_700.webp
RLM Amusements,RLM Amusements - Current.csv,6,Jaws,Stern,2024,stern--jaws--2024,stern--GLWll--2024,GLWll,GLWll-M1r8O,v--16470--GLWll,,/pinball/images/playfields/GLWll-playfield.jpg,stern--jaws--2024-playfield_700.webp,stern--GLWll--2024-playfield_700.webp,GLWll-playfield_700.webp
RLM Amusements,RLM Amusements - Current.csv,35,Jurassic Park,Stern,2019,stern--jurassic-park-stern--2019,stern--GK17D--2019,GK17D,GK17D-MKNKd,v--16470--GK17D,,/pinball/images/playfields/GK17D-playfield.jpg,stern--jurassic-park-stern--2019-playfield_700.webp,stern--GK17D--2019-playfield_700.webp,GK17D-playfield_700.webp
RLM Amusements,RLM Amusements - Current.csv,3,King Kong,Stern,2025,stern--king-kong-myth-of-terror-island--2025,stern--GEL0V--2025,GEL0V,GEL0V-MyN8E,v--16470--GEL0V,,/pinball/images/playfields/GEL0V-playfield.jpg,stern--king-kong-myth-of-terror-island--2025-playfield_700.webp,stern--GEL0V--2025-playfield_700.webp,GEL0V-playfield_700.webp
RLM Amusements,RLM Amusements - Current.csv,37,Labyrinth,BoF,2023,bof--barrels-of-fun-labyrinth--2023,bof--GvBn8--2023,GvBn8,GvBn8-Mz291,v--16470--GvBn8,,/pinball/images/playfields/GvBn8-playfield.jpg,bof--barrels-of-fun-labyrinth--2023-playfield_700.webp,bof--GvBn8--2023-playfield_700.webp,GvBn8-playfield_700.webp
RLM Amusements,RLM Amusements - Current.csv,16,Metallica Remastered,Stern,2024,stern--metallica-remastered--2024,stern--GO0q3--2024,GO0q3,GO0q3-MOEy8,v--16470--GO0q3,,/pinball/images/playfields/GO0q3-playfield.jpg,stern--metallica-remastered--2024-playfield_700.webp,stern--GO0q3--2024-playfield_700.webp,GO0q3-playfield_700.webp
RLM Amusements,RLM Amusements - Current.csv,15,Nitro Ground Shaker,Bally,1980,bally--nitro-ground-shaker--1980,bally--GrP6q--1980,GrP6q,GrP6q-M5Rp1,v--16470--GrP6q,,/pinball/images/playfields/GrP6q-playfield.jpg,bally--nitro-ground-shaker--1980-playfield_700.webp,bally--GrP6q--1980-playfield_700.webp,GrP6q-playfield_700.webp
RLM Amusements,RLM Amusements - Current.csv,24,Paragon,Bally,1979,bally--paragon--1979,bally--GrXy3--1979,GrXy3,GrXy3-ML0Ey,v--16470--GrXy3,,/pinball/images/playfields/GrXy3-playfield.jpg,bally--paragon--1979-playfield_700.webp,bally--GrXy3--1979-playfield_700.webp,GrXy3-playfield_700.webp
RLM Amusements,RLM Amusements - Current.csv,18,Pulp Fiction,CGC,2024,cgc--pulp-fiction--2024,cgc--GoEkx--2024,GoEkx,GoEkx-MdEzN,v--16470--GoEkx,,/pinball/images/playfields/GoEkx-playfield.jpg,cgc--pulp-fiction--2024-playfield_700.webp,cgc--GoEkx--2024-playfield_700.webp,GoEkx-playfield_700.webp
RLM Amusements,RLM Amusements - Current.csv,36,Robo-War,Gottlieb,1988,gottlieb--robo-war--1988,gottlieb--GryK3--1988,GryK3,GryK3-MQrWk,v--16470--GryK3,,/pinball/images/playfields/GryK3-playfield.webp,gottlieb--robo-war--1988-playfield_700.webp,gottlieb--GryK3--1988-playfield_700.webp,GryK3-playfield_700.webp
RLM Amusements,RLM Amusements - Current.csv,4,Star Wars: Fall of the Empire,Stern,2025,stern--star-wars-fall-of-the-empire--2025,stern--Gxv81--2025,Gxv81,Gxv81-M610r,v--16470--Gxv81,,/pinball/images/playfields/Gxv81-playfield.jpg,stern--star-wars-fall-of-the-empire--2025-playfield_700.webp,stern--Gxv81--2025-playfield_700.webp,Gxv81-playfield_700.webp
RLM Amusements,RLM Amusements - Current.csv,12,Tales from the Crypt,DE,1993,de--tales-from-the-crypt--1993,de--GR6wO--1993,GR6wO,GR6wO-MDvzk,v--16470--GR6wO,,/pinball/images/playfields/GR6wO-playfield.jpg,de--tales-from-the-crypt--1993-playfield_700.webp,de--GR6wO--1993-playfield_700.webp,GR6wO-playfield_700.webp
RLM Amusements,RLM Amusements - Current.csv,21,The Getaway: High Speed II,Williams,1992,williams--the-getaway-high-speed-ii--1992,williams--Grx8Y--1992,Grx8Y,Grx8Y-MKNe9,v--16470--Grx8Y,,/pinball/images/playfields/Grx8Y-playfield.jpg,williams--the-getaway-high-speed-ii--1992-playfield_700.webp,williams--Grx8Y--1992-playfield_700.webp,Grx8Y-playfield_700.webp
RLM Amusements,RLM Amusements - Current.csv,28,The Shadow,Midway,1994,midway--shadow--1994,midway--G4jPX--1994,G4jPX,G4jPX-M85YZ,v--16470--G4jPX,,/pinball/images/playfields/G4jPX-playfield.jpg,midway--shadow--1994-playfield_700.webp,midway--G4jPX--1994-playfield_700.webp,G4jPX-playfield_700.webp
RLM Amusements,RLM Amusements - Current.csv,23,The Uncanny X-Men,Stern,2024,stern--uncanny-x-men--2024,stern--G7ZEz--2024,G7ZEz,G7ZEz-MBRYn,v--16470--G7ZEz,,/pinball/images/playfields/G7ZEz-playfield.jpg,stern--uncanny-x-men--2024-playfield_700.webp,stern--G7ZEz--2024-playfield_700.webp,G7ZEz-playfield_700.webp
RLM Amusements,RLM Amusements - Current.csv,20,Total Nuclear Annihilation,Spooky,2017,spooky--total-nuclear-annihilation--2017,spooky--GRD79--2017,GRD79,GRD79-M0odk,v--16470--GRD79,,/pinball/images/playfields/GRD79-playfield.jpg,spooky--total-nuclear-annihilation--2017-playfield_700.webp,spooky--GRD79--2017-playfield_700.webp,GRD79-playfield_700.webp
RLM Amusements,RLM Amusements - Current.csv,27,Totem,Gottlieb,1979,gottlieb--totem--1979,gottlieb--G5YDN--1979,G5YDN,G5YDN-MJKYo,v--16470--G5YDN,,/pinball/images/playfields/G5YDN-playfield.jpg,gottlieb--totem--1979-playfield_700.webp,gottlieb--G5YDN--1979-playfield_700.webp,G5YDN-playfield_700.webp
The Avenue Cafe,Avenue Pinball - Current.csv,21,AC/DC,Stern,2012,stern--ac-dc--2012,stern--G43W4--2012,G43W4,G43W4-MXrPx,v--8760--G43W4,,/pinball/images/playfields/G43W4-playfield.jpg,stern--ac-dc--2012-playfield_700.webp,stern--G43W4--2012-playfield_700.webp,G43W4-playfield_700.webp
The Avenue Cafe,Avenue Pinball - Current.csv,43,Attack from Mars,Bally,1995,bally--attack-from-mars--1995,bally--G4do5--1995,G4do5,G4do5-MDlN7,v--8760--G4do5,,/pinball/images/playfields/G4do5-playfield.jpg,bally--attack-from-mars--1995-playfield_700.webp,bally--G4do5--1995-playfield_700.webp,G4do5-playfield_700.webp
The Avenue Cafe,Avenue Pinball - Current.csv,2,Avengers: Infinity Quest,Stern,2020,stern--avengers-infinity-quest--2020,stern--Gj66P--2020,Gj66P,Gj66P-MXr0E,v--8760--Gj66P,,/pinball/images/playfields/Gj66P-playfield.jpg,stern--avengers-infinity-quest--2020-playfield_700.webp,stern--Gj66P--2020-playfield_700.webp,Gj66P-playfield_700.webp
The Avenue Cafe,Avenue Pinball - Current.csv,44,Black Knight: Sword of Rage,Stern,2019,stern--black-knight-sword-of-rage--2019,stern--GD7Ld--2019,GD7Ld,GD7Ld-MBRP4,v--8760--GD7Ld,,/pinball/images/playfields/GD7Ld-playfield.jpg,stern--black-knight-sword-of-rage--2019-playfield_700.webp,stern--GD7Ld--2019-playfield_700.webp,GD7Ld-playfield_700.webp
The Avenue Cafe,Avenue Pinball - Current.csv,15,Cactus Canyon,Bally,1998,bally--cactus-canyon--1998,bally--G4835--1998,G4835,G4835-Mb5eO,v--8760--G4835,,/pinball/images/playfields/G4835-playfield.jpg,bally--cactus-canyon--1998-playfield_700.webp,bally--G4835--1998-playfield_700.webp,G4835-playfield_700.webp
The Avenue Cafe,Avenue Pinball - Current.csv,24,Deadpool,Stern,2018,stern--deadpool--2018,stern--G6lnq--2018,G6lnq,G6lnq-Mq1kv,v--8760--G6lnq,,/pinball/images/playfields/G6lnq-playfield.png,stern--deadpool--2018-playfield_700.webp,stern--G6lnq--2018-playfield_700.webp,G6lnq-playfield_700.webp
The Avenue Cafe,Avenue Pinball - Current.csv,31,Dungeons & Dragons: The Tyrant's Eye,Stern,2025,stern--dungeons-and-dragons-the-tyrants-eye--2025,stern--GK1Ej--2025,GK1Ej,GK1Ej-MePok,v--8760--GK1Ej,,/pinball/images/playfields/GK1Ej-playfield.jpg,stern--dungeons-and-dragons-the-tyrants-eye--2025-playfield_700.webp,stern--GK1Ej--2025-playfield_700.webp,GK1Ej-playfield_700.webp
The Avenue Cafe,Avenue Pinball - Current.csv,34,Elvira's House of Horrors,Stern,2019,stern--elviras-house-of-horrors--2019,stern--GZVOd--2019,GZVOd,GZVOd-MwNxZ,v--8760--GZVOd,,/pinball/images/playfields/GZVOd-playfield.jpg,stern--elviras-house-of-horrors--2019-playfield_700.webp,stern--GZVOd--2019-playfield_700.webp,GZVOd-playfield_700.webp
The Avenue Cafe,Avenue Pinball - Current.csv,20,Foo Fighters,Stern,2023,stern--foo-fighters--2023,stern--GpeoL--2023,GpeoL,GpeoL-MkPz1,v--8760--GpeoL,,/pinball/images/playfields/GpeoL-playfield.jpg,stern--foo-fighters--2023-playfield_700.webp,stern--GpeoL--2023-playfield_700.webp,GpeoL-playfield_700.webp
The Avenue Cafe,Avenue Pinball - Current.csv,41,Game of Thrones,Stern,2015,stern--game-of-thrones--2015,stern--G41d5--2015,G41d5,G41d5-M9REd,v--8760--G41d5,,/pinball/images/playfields/G41d5-playfield.jpg,stern--game-of-thrones--2015-playfield_700.webp,stern--G41d5--2015-playfield_700.webp,G41d5-playfield_700.webp
The Avenue Cafe,Avenue Pinball - Current.csv,38,Ghostbusters,Stern,2016,stern--ghostbusters--2016,stern--GR9Nr--2016,GR9Nr,GR9Nr-MVKol,v--8760--GR9Nr,,/pinball/images/playfields/GR9Nr-playfield.png,stern--ghostbusters--2016-playfield_700.webp,stern--GR9Nr--2016-playfield_700.webp,GR9Nr-playfield_700.webp
The Avenue Cafe,Avenue Pinball - Current.csv,23,Godzilla,Stern,2021,stern--godzilla--2021,stern--GweeP--2021,GweeP,GweeP-Ml9pZ,v--8760--GweeP,,/pinball/images/playfields/GweeP-playfield.jpg,stern--godzilla--2021-playfield_700.webp,stern--GweeP--2021-playfield_700.webp,GweeP-playfield_700.webp
The Avenue Cafe,Avenue Pinball - Current.csv,45,Godzilla,Stern,2021,stern--godzilla--2021,stern--GweeP--2021,GweeP,GweeP-Ml9pZ,v--8760--GweeP,,/pinball/images/playfields/GweeP-playfield.jpg,stern--godzilla--2021-playfield_700.webp,stern--GweeP--2021-playfield_700.webp,GweeP-playfield_700.webp
The Avenue Cafe,Avenue Pinball - Current.csv,14,Indiana Jones: The Pinball Adventure,Williams,1993,williams--indiana-jones--1993,williams--G4xZy--1993,G4xZy,G4xZy-MLno6,v--8760--G4xZy,,/pinball/images/playfields/G4xZy-playfield.jpg,williams--indiana-jones--1993-playfield_700.webp,williams--G4xZy--1993-playfield_700.webp,G4xZy-playfield_700.webp
The Avenue Cafe,Avenue Pinball - Current.csv,4,Iron Maiden,Stern,2018,stern--iron-maiden-legacy-of-the-beast--2018,stern--G4dOQ--2018,G4dOQ,G4dOQ-MyNbb,v--8760--G4dOQ,,/pinball/images/playfields/G4dOQ-playfield.png,stern--iron-maiden-legacy-of-the-beast--2018-playfield_700.webp,stern--G4dOQ--2018-playfield_700.webp,G4dOQ-playfield_700.webp
The Avenue Cafe,Avenue Pinball - Current.csv,36,James Bond 007,Stern,2022,stern--james-bond-007--2022,stern--GQKyP--2022,GQKyP,GQKyP-MP3OK,v--8760--GQKyP,,/pinball/images/playfields/GQKyP-playfield.jpg,stern--james-bond-007--2022-playfield_700.webp,stern--GQKyP--2022-playfield_700.webp,GQKyP-playfield_700.webp
The Avenue Cafe,Avenue Pinball - Current.csv,39,Jaws,Stern,2024,stern--jaws--2024,stern--GLWll--2024,GLWll,GLWll-M1r8O,v--8760--GLWll,,/pinball/images/playfields/GLWll-playfield.jpg,stern--jaws--2024-playfield_700.webp,stern--GLWll--2024-playfield_700.webp,GLWll-playfield_700.webp
The Avenue Cafe,Avenue Pinball - Current.csv,33,John Wick,Stern,2024,stern--john-wick--2024,stern--GQK1P--2024,GQK1P,GQK1P-Ml95Z,v--8760--GQK1P,,/pinball/images/playfields/GQK1P-playfield.jpg,stern--john-wick--2024-playfield_700.webp,stern--GQK1P--2024-playfield_700.webp,GQK1P-playfield_700.webp
